#,name,salon,segment,channel,status,demo_date,pilot_start,pilot_end,package,masters,mrr_by,next_step,notes
1,kaskad,kaskad,база,prod,active,,,,,,,,"тенант live :8000"
2,hairos,hairos,база,prod,active,,,,,,,,"тенант live :8005"
3,,,"владелец_салона",,new,,,,,,,,"вставить имя · написать scripts#1"
4,,,"владелец_салона",,new,,,,,,,,"вставить имя · написать scripts#1"
5,,,"владелец_салона",,new,,,,,,,,"вставить имя · написать scripts#1"
6,,,"владелец_салона",,new,,,,,,,,"вставить имя · написать scripts#1"
7,,,"владелец_салона",,new,,,,,,,,"вставить имя · написать scripts#1"
8,,,"владелец_салона",,new,,,,,,,,"вставить имя · написать scripts#1"
9,,,"владелец_салона",,new,,,,,,,,"вставить имя · написать scripts#1"
10,,,"владелец_салона",,new,,,,,,,,"вставить имя · написать scripts#1"
11,,,"владелец_салона",,new,,,,,,,,"вставить имя · написать scripts#1"
12,,,"владелец_салона",,new,,,,,,,,"вставить имя · написать scripts#1"
13,,,"тёплый_знакомый",,new,,,,,,,,"кто знает кого · scripts#1"
14,,,"тёплый_знакомый",,new,,,,,,,,"кто знает кого · scripts#1"
15,,,"тёплый_знакомый",,new,,,,,,,,"кто знает кого · scripts#1"
16,,,"тёплый_знакомый",,new,,,,,,,,"кто знает кого · scripts#1"
17,,,"тёплый_знакомый",,new,,,,,,,,"кто знает кого · scripts#1"
18,,,"тёплый_знакомый",,new,,,,,,,,"кто знает кого · scripts#1"
19,,,"тёплый_знакомый",,new,,,,,,,,"кто знает кого · scripts#1"
20,,,"тёплый_знакомый",,new,,,,,,,,"кто знает кого · scripts#1"
21,,,"тёплый_знакомый",,new,,,,,,,,"кто знает кого · scripts#1"
22,,,"тёплый_знакомый",,new,,,,,,,,"кто знает кого · scripts#1"
23,,,"админ_мастер",,new,,,,,,,,"админ/управленец · scripts#1"
24,,,"админ_мастер",,new,,,,,,,,"админ/управленец · scripts#1"
25,,,"админ_мастер",,new,,,,,,,,"админ/управленец · scripts#1"
26,,,"админ_мастер",,new,,,,,,,,"админ/управленец · scripts#1"
27,,,"админ_мастер",,new,,,,,,,,"админ/управленец · scripts#1"
28,,,"админ_мастер",,new,,,,,,,,"админ/управленец · scripts#1"
29,,,"админ_мастер",,new,,,,,,,,"админ/управленец · scripts#1"
30,,,"админ_мастер",,new,,,,,,,,"админ/управленец · scripts#1"
31,,,"админ_мастер",,new,,,,,,,,"админ/управленец · scripts#1"
32,,,"админ_мастер",,new,,,,,,,,"админ/управленец · scripts#1"
